;ANNOSCOLASTICO;AREAGEOGRAFICA;CAPSCUOLA;CODICECOMUNESCUOLA;CODICEISTITUTORIFERIMENTO;DENOMINAZIONEISTITUTORIFERIMENTO;DENOMINAZIONESCUOLA;DESCRIZIONECARATTERISTICASCUOLA;DESCRIZIONECOMUNE;DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA;INDICAZIONESEDEDIRETTIVO;INDICAZIONESEDEOMNICOMPRENSIVO;INDIRIZZOEMAILSCUOLA;INDIRIZZOPECSCUOLA;INDIRIZZOSCUOLA;PROVINCIA;REGIONE;SEDESCOLASTICA;SITOWEBSCUOLA;bStatale;Long;Lat;ORDINESCUOLA;ALUNNI
MITD04301Q;201617;NORD OVEST;20132,0;F205;MIIS04300D;IS F.BESTA;F.BESTA;NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS04300D@istruzione.it;Non Disponibile;VIA DON G.CALABRIA16;MILANO;LOMBARDIA;SI;www.fbesta.it;True;9,241926199999998;45,4993466;SCUOLA SECONDARIA II GRADO;457
MIRC059012;201617;NORD OVEST;20138,0;F205;MIIS059003;"""ORIANI-MAZZINI"" MILANO";"""ORIANI-MAZZINI"" MILANO";NORMALE;MILANO;IST PROF PER I SERVIZI COMMERCIALI;NO;Non Disponibile;MIIS059003@istruzione.it;Non Disponibile;VIA ZANTE 34;MILANO;LOMBARDIA;SI;www.orianimazzini.gov.it;True;9,2472582;45,458737;SCUOLA SECONDARIA II GRADO;934
MIEE8DY01E;201617;NORD OVEST;20142,0;F205;MIIC8DY00C;IC S.AMBROGIO/MILANO;DE NICOLA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DY00C@istruzione.it;Non Disponibile;VIA DE NICOLA 2;MILANO;LOMBARDIA;SI;www.comprensivosantabrogio.gov.it;True;9,15509;45,43159;SCUOLA PRIMARIA;204
MIMM815016;201617;NORD OVEST;20146,0;F205;MIIC815005;"IC ""CARDARELLI MASSAUA""-MILANO";CARDARELLI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC815005@istruzione.it;Non Disponibile;VIA SCROSATI 4;MILANO;LOMBARDIA;SI;http//cardarelli-massaua.gov.it;True;9,1392945;45,45415939999999;SCUOLA SECONDARIA I GRADO;442
MIEE8C7025;201617;NORD OVEST;20153,0;F205;MIIC8C7002;I.C. LUCIANO MANARA;C. POMA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C7002@istruzione.it;Non Disponibile;VIA AIRAGHI 42;MILANO;LOMBARDIA;SI;www.istitutolucianomanara.gov.it;True;9,0851276;45,47564329999999;SCUOLA PRIMARIA;140
MIEE8BD023;201617;NORD OVEST;20121,0;F205;MIIC8BD00X;MILANO SPIGA ROSSARICASTIGLIONI;IC MILANO SPIGA A. DA GIUSSANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8BD00X@istruzione.it;Non Disponibile;BASTIONI DI PORTA NUOVA 4;MILANO;LOMBARDIA;SI;http//www.icsmilanospiga.gov.it/;True;9,1912102;45,4800215;SCUOLA PRIMARIA;147
MIMM8CG013;201617;NORD OVEST;20161,0;F205;MIIC8CG002;IC VIA SCIALOIA/MILANO;BUONARROTI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CG002@istruzione.it;Non Disponibile;VIA SCIALOIA 21;MILANO;LOMBARDIA;SI;www.icscialoia.gov.it;True;9,1796136;45,5086747;SCUOLA SECONDARIA I GRADO;231
MIEE815017;201617;NORD OVEST;20146,0;F205;MIIC815005;"IC ""CARDARELLI MASSAUA""-MILANO";MI-MASSAUA AGGR. SMS CARDARELLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC815005@istruzione.it;Non Disponibile;VIA MASSAUA 5;MILANO;LOMBARDIA;SI;htpp//www.cardarelli-massaua.gov.it;True;9,1483172;45,460750899999994;SCUOLA PRIMARIA;421
MIEE8CX022;201617;NORD OVEST;20141,0;F205;MIIC8CX00V;IC FABIO FILZI/MILANO;ERMANNO WOLF FERRARI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CX00V@istruzione.it;Non Disponibile;VIA WOLF FERRARI 6;MILANO;LOMBARDIA;SI;www.icsfilzi.it;True;9,2045002;45,4309665;SCUOLA PRIMARIA;558
MIEE8DZ03C;201617;NORD OVEST;20142,0;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";G.CASATI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA S.COLOMBANO 9;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,1269602;45,43866;SCUOLA PRIMARIA;115
MIEE8CX011;201617;NORD OVEST;20139,0;F205;MIIC8CX00V;IC FABIO FILZI/MILANO;FABIO FILZI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CX00V@istruzione.it;Non Disponibile;VIA RAVENNA 15;MILANO;LOMBARDIA;SI;www.icsfilzi.it;True;9,2211877;45,434138899999994;SCUOLA PRIMARIA;182
MIMM8B701C;201617;NORD OVEST;20129,0;F205;MIIC8B700B;IC PISACANE E POERIO/MILANO;LOCATELLI - ORIANI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B700B@istruzione.it;Non Disponibile;VIA PISACANE 13;MILANO;LOMBARDIA;SI;www.icpisacanepoerio.gov.it;True;9,2108616;45,470352;SCUOLA SECONDARIA I GRADO;446
MIEE8DZ02B;201617;NORD OVEST;20142,0;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";TRE CASTELLI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA BALSAMO CRIVELLI 3;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,1377031;45,4390755;SCUOLA PRIMARIA;306
MIMM8DE012;201617;NORD OVEST;20122,0;F205;MIIC8DE001;OMNICOMPRENSIVO MUSICALE MILANO;"SCUOLA MEDIA ""G.VERDI""";NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DE001@istruzione.it;Non Disponibile;VIA CORRIDONI 34/36;MILANO;LOMBARDIA;SI;www.icscuocosassi.it;True;9,203984599999998;45,463527500000005;SCUOLA SECONDARIA I GRADO;271
MIMM8DZ019;201617;NORD OVEST;20142,0;F205;MIIC8DZ008;"IC.""ILARIA ALPI""MILANO";VIA SALERNO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DZ008@istruzione.it;Non Disponibile;VIA SALERNO 1;MILANO;LOMBARDIA;SI;www.icilariaalpi.gov.it;True;9,148601600000001;45,4378059;SCUOLA SECONDARIA I GRADO;573
MIEE8B701D;201617;NORD OVEST;20129,0;F205;MIIC8B700B;IC PISACANE E POERIO/MILANO;PISACANE E POERIO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B700B@istruzione.it;Non Disponibile;VIA PISACANE 9;MILANO;LOMBARDIA;SI;www.icpisacanepoerio.gov.it;True;9,211002699999998;45,4696919;SCUOLA PRIMARIA;663
MIEE8CG014;201617;NORD OVEST;20161,0;F205;MIIC8CG002;IC VIA SCIALOIA/MILANO;VIA SCIALOIA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CG002@istruzione.it;Non Disponibile;VIA SCIALOIA 19;MILANO;LOMBARDIA;SI;www.icscialoia.gov.it;True;9,1794848;45,50923419999999;SCUOLA PRIMARIA;342
MIEE8B601N;201617;NORD OVEST;20129,0;F205;MIIC8B600G;IC A.STOPPANI/MILANO;VIA STOPPANI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B600G@istruzione.it;Non Disponibile;VIA STOPPANI 1;MILANO;LOMBARDIA;SI;www.icstoppani.gov.it;True;9,211711300000001;45,4761739;SCUOLA PRIMARIA;447
MIMM80901V;201617;NORD OVEST;20141,0;F205;MIIC80900T;"IC ""E. MORANTE""/MILANO";MORANTE;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC80900T@istruzione.it;Non Disponibile;VIA HEINE 2;MILANO;LOMBARDIA;SI;www.icselsamorante.it;True;9,193769900000001;45,4390578;SCUOLA SECONDARIA I GRADO;140
MIEE8CH021;201617;NORD OVEST;20159,0;F205;MIIC8CH00T;IC CONFALONIERI/MILANO;R.LAMBRUSCHINI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CH00T@istruzione.it;Non Disponibile;VIA CRESPI 1;MILANO;LOMBARDIA;SI;www.istitutoconfalonieri.gov.it;True;9,186003300000001;45,49867860000001;SCUOLA PRIMARIA;317
MIEE306036;201617;NORD OVEST;20128,0;F205;MIEE306003;CD G.B.PERASSO / MILANO;BOTTEGO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIEE306003@istruzione.it;Non Disponibile;VIA SAN MAMETE 11;MILANO;LOMBARDIA;SI;www.ddperasso.gov.it;True;9,248084;45,5109518;SCUOLA PRIMARIA;442
MIEE8CH01X;201617;NORD OVEST;20159,0;F205;MIIC8CH00T;IC CONFALONIERI/MILANO;F.CONFALONIERI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CH00T@istruzione.it;Non Disponibile;VIA DAL VERME 10;MILANO;LOMBARDIA;SI;www.istitutoconfalonieri.gov.it;True;9,187949900000001;45,4872903;SCUOLA PRIMARIA;381
MIPS039018;201617;NORD OVEST;20162,0;F205;MIIS03900T;BERTRAND RUSSELL;BERTRAND RUSSELL;NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS03900T@istruzione.it;Non Disponibile;VIA GATTI 16;MILANO;LOMBARDIA;SI;www.iis-russell.gov.it;True;9,1907418;45,5059725;SCUOLA SECONDARIA II GRADO;535
MIMM8FW013;201617;NORD OVEST;20142,0;F205;MIIC8FW002;I.C. VIA ARCADIA - MILANO;ARCADIA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8FW002@istruzione.it;Non Disponibile;VIA DELL'ARCADIA 24;MILANO;LOMBARDIA;SI;www.arcadia.gov.it;True;9,1721413;45,4170778;SCUOLA SECONDARIA I GRADO;388
MIEE8B802A;201617;NORD OVEST;20137,0;F205;MIIC8B8007;IC TOMMASO GROSSI/MILANO;OTTOLINI BELGIOIOSO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B8007@istruzione.it;Non Disponibile;VIA COLLETTA 49/51;MILANO;LOMBARDIA;SI;www.icgrossimilano.it;True;9,2118379;45,4489417;SCUOLA PRIMARIA;435
MIEE306014;201617;NORD OVEST;20132,0;F205;MIEE306003;CD G.B.PERASSO / MILANO;G.B.PERASSO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIEE306003@istruzione.it;Non Disponibile;VIA BOTTEGO 4;MILANO;LOMBARDIA;SI;www.ddperasso.gov.it;True;9,2438854;45,5036677;SCUOLA PRIMARIA;384
MIEE8B8019;201617;NORD OVEST;20137,0;F205;MIIC8B8007;IC TOMMASO GROSSI/MILANO;TOMMASO GROSSI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B8007@istruzione.it;Non Disponibile;VIA MONTE VELINO 2 4;MILANO;LOMBARDIA;SI;www.icgrossimilano.it;True;9,224815199999998;45,452904499999995;SCUOLA PRIMARIA;331
MIMM8DG01N;201617;NORD OVEST;20126,0;F205;MIIC8DG00L;IC ARBE ZARA/MILANO;VIALE SARCA -MILANO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DG00L@istruzione.it;Non Disponibile;VIALE SARCA 24;MILANO;LOMBARDIA;SI;www.icarbezara.gov.it;True;9,2040569;45,5069282;SCUOLA SECONDARIA I GRADO;212
MIEE8FV029;201617;NORD OVEST;20142,0;F205;MIIC8FV006;I.C VIA PALMIERI - MILANO;C.PERONI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FV006@istruzione.it;Non Disponibile;VIA SAN GIACOMO 1;MILANO;LOMBARDIA;SI;www.icviapalmieri.gov.it;True;9,173110000000001;45,429990000000004;SCUOLA PRIMARIA;336
MIEE8FV018;201617;NORD OVEST;20141,0;F205;MIIC8FV006;I.C VIA PALMIERI - MILANO;C. BATTISTI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8FV006@istruzione.it;Non Disponibile;VIA PALMIERI 24;MILANO;LOMBARDIA;SI;www.icvapalmieri.gov.it;True;9,1784593;45,434746600000004;SCUOLA PRIMARIA;335
MIEE81902G;201617;NORD OVEST;20126,0;F205;MIIC81900C;IC I.CALVINO;MI/S.UGUZZONE AGGR.SMS CALVINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA SANT'UGUZZONE10;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,2256112;45,520708899999995;SCUOLA PRIMARIA;166
MIEE8F201R;201617;NORD OVEST;20154,0;F205;MIIC8F200P;I.C. VIA LINNEO/MILANO;F.APORTI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8F200P@istruzione.it;Non Disponibile;VIA MANTEGNA 10;MILANO;LOMBARDIA;SI;www.icvialinneo.gov.it;True;9,1680338;45,4834912;SCUOLA PRIMARIA;498
MIMM8B8018;201617;NORD OVEST;20137,0;F205;MIIC8B8007;IC TOMMASO GROSSI/MILANO;TITO LIVIO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8B8007@istruzione.it;Non Disponibile;MONTE VELINO 2;MILANO;LOMBARDIA;SI;WWW.ICGROSSIMILANO.IT;True;9,224815199999998;45,452904499999995;SCUOLA SECONDARIA I GRADO;212
MIEE8DG03R;201617;NORD OVEST;20126,0;F205;MIIC8DG00L;IC ARBE ZARA/MILANO;C.POERIO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DG00L@istruzione.it;Non Disponibile;VIA PIANELL 40;MILANO;LOMBARDIA;SI;www.icarbezara.gov.it;True;9,2035371;45,5079719;SCUOLA PRIMARIA;342
MIEE81901E;201617;NORD OVEST;20126,0;F205;MIIC81900C;IC I.CALVINO;MI-MATTEI AGGR. S.M.S. CALVINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA MATTEI12;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,2227549;45,514503999999995;SCUOLA PRIMARIA;418
MIEE8DG01P;201617;NORD OVEST;20125,0;F205;MIIC8DG00L;IC ARBE ZARA/MILANO;ARBE ZARA - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DG00L@istruzione.it;Non Disponibile;VIALE ZARA 96;MILANO;LOMBARDIA;SI;www.icarbezara.gov.it;True;9,195745;45,4965746;SCUOLA PRIMARIA;470
MIEE8DY02G;201617;NORD OVEST;20142,0;F205;MIIC8DY00C;IC S.AMBROGIO/MILANO;SAN PAOLINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DY00C@istruzione.it;Non Disponibile;VIA DE NICOLA 40;MILANO;LOMBARDIA;SI;www.comprensivosantabrogio.gov.it;True;9,1590906;45,429886100000004;SCUOLA PRIMARIA;119
MIEE81903L;201617;NORD OVEST;20128,0;F205;MIIC81900C;IC I.CALVINO;MI/CARNOVALI AGGR. SMS CALVINO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC81900C@istruzione.it;Non Disponibile;VIA CARNOVALI 19;MILANO;LOMBARDIA;SI;www.icsfrigia.it;True;9,23012;45,5129729;SCUOLA PRIMARIA;111
MIEE809021;201617;NORD OVEST;20141,0;F205;MIIC80900T;"IC ""E. MORANTE""/MILANO";MI/BOGNETTI AGGR. SMS HEINE;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC80900T@istruzione.it;Non Disponibile;VIA BOGNETTI N.15;MILANO;LOMBARDIA;SI;www.icselsamorante.it;True;9,1902327;45,43788;SCUOLA PRIMARIA;276
MIEE8D4017;201617;NORD OVEST;20132,0;F205;MIIC8D4005;I.C. VIA MANIAGO/MILANO;"SCUOLA PRIMARIA ""E. FERMI""";NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D4005@istruzione.it;Non Disponibile;VIA CARNIA 32;MILANO;LOMBARDIA;SI;http//www.icsbuzzati.gov.it;True;9,2364067;45,49515170000001;SCUOLA PRIMARIA;327
MISL020003;201617;NORD OVEST;20127,0;F205;MISL020003;"LICEO ARTISTICO ""CARAVAGGIO""";"LICEO ARTISTICO ""CARAVAGGIO""";NORMALE;MILANO;LICEO ARTISTICO;SI;Non Disponibile;MISL020003@istruzione.it;misl020003@pec.istruzione.it;VIA PRINETTI 47;MILANO;LOMBARDIA;SI;liceocaravaggio.com;True;9,2331037;45,4992691;SCUOLA SECONDARIA II GRADO;818
MIEE8C6029;201617;NORD OVEST;20151,0;F205;MIIC8C6006;"IC ""VIA PARETO""/MILANO";VIA PARETO - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C6006@istruzione.it;Non Disponibile;VIA PARETO 26;MILANO;LOMBARDIA;SI;www.icspareto.gov.it;True;9,1260061;45,5026539;SCUOLA PRIMARIA;157
MIMM8D4016;201617;NORD OVEST;20134,0;F205;MIIC8D4005;I.C. VIA MANIAGO/MILANO;BUZZATI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8D4005@istruzione.it;Non Disponibile;VIA MANIAGO30;MILANO;LOMBARDIA;SI;www.icsbuzzati.gov.it;True;9,239765400000001;45,48937189999999;SCUOLA SECONDARIA I GRADO;455
MISL03000N;201617;NORD OVEST;20149,0;F205;MISL03000N;U.BOCCIONI;U.BOCCIONI;NORMALE;MILANO;LICEO ARTISTICO;SI;Non Disponibile;MISL03000N@istruzione.it;misl03000n@pec.istruzione.it;PIAZZALE ARDUINO N.4;MILANO;LOMBARDIA;SI;www.liceoartisticoboccioni.gov.it;True;9,1507584;45,478094399999996;SCUOLA SECONDARIA II GRADO;1198
MIEE8C6018;201617;NORD OVEST;20151,0;F205;MIIC8C6006;"IC ""VIA PARETO""/MILANO";VIA MAGREGLIO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8C6006@istruzione.it;Non Disponibile;VIA MAGREGLIO 1;MILANO;LOMBARDIA;SI;www.icspareto.gov.it;True;9,132437;45,4962147;SCUOLA PRIMARIA;208
MIEE8B4023;201617;NORD OVEST;20124,0;F205;MIIC8B400X;IC LUIGI GALVANI/MILANO;LUIGI GALVANI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8B400X@istruzione.it;Non Disponibile;VIA GALVANI 7;MILANO;LOMBARDIA;SI;ww.icgalvani.gov.it;True;9,2005496;45,485600399999996;SCUOLA PRIMARIA;255
MIMM8DS01E;201617;NORD OVEST;20153,0;F205;MIIC8DS00D;IC PRIMO LEVI/MILANO;PRIMO LEVI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DS00D@istruzione.it;Non Disponibile;VIA PISTOIA 30;MILANO;LOMBARDIA;SI;http//icsprimolevi.gov.it;True;9,0894982;45,462478600000004;SCUOLA SECONDARIA I GRADO;407
MIPS03601R;201617;NORD OVEST;20161,0;F205;MIIS03600A;"""VILFREDO FEDERICO PARETO""";"""VILFREDO FEDERICO PARETO""";NORMALE;MILANO;LICEO SCIENTIFICO;NO;Non Disponibile;MIIS03600A@istruzione.it;Non Disponibile;VIA LITTA MODIGNANI 55;MILANO;LOMBARDIA;SI;www.iispareto.it;True;9,1607397;45,522836700000006;SCUOLA SECONDARIA II GRADO;193
MIEE8D4028;201617;NORD OVEST;20134,0;F205;MIIC8D4005;I.C. VIA MANIAGO/MILANO;SCUOLA PRIMARIA B.MUNARI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8D4005@istruzione.it;Non Disponibile;VIA FELTRE 68/1;MILANO;LOMBARDIA;SI;icsbuzzati.gov.it;True;9,2443742;45,4911041;SCUOLA PRIMARIA;403
MISL01000C;201617;NORD OVEST;20129,0;F205;MISL01000C;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;NORMALE;MILANO;LICEO ARTISTICO;SI;Non Disponibile;MISL01000C@istruzione.it;misl01000c@pec.istruzione.it;VIA HAJECH 27;MILANO;LOMBARDIA;SI;liceoartisticodibrera.com;True;9,2183109;45,4646013;SCUOLA SECONDARIA II GRADO;1509
MIEE8CV019;201617;NORD OVEST;20128,0;F205;MIIC8CV007;IC PAOLO E LARISSA PINI/MILANO;PAOLO E LARISSA PINI - MILANO;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CV007@istruzione.it;Non Disponibile;VIA STEFANARDO VIMERCATE14;MILANO;LOMBARDIA;SI;www.icspini.net;True;9,226329400000001;45,506348700000004;SCUOLA PRIMARIA;82
MIMM8C6017;201617;NORD OVEST;20151,0;F205;MIIC8C6006;"IC ""VIA PARETO""/MILANO";VIA GALLARATE 15;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8C6006@istruzione.it;Non Disponibile;VIA GALLARATE 15;MILANO;LOMBARDIA;SI;www.icspareto.gov.it;True;9,1409067;45,4938093;SCUOLA SECONDARIA I GRADO;411
MITD03601L;201617;NORD OVEST;20161,0;F205;MIIS03600A;"""VILFREDO FEDERICO PARETO""";"""VILFREDO FEDERICO PARETO""";NORMALE;MILANO;ISTITUTO TECNICO COMMERCIALE;NO;Non Disponibile;MIIS03600A@istruzione.it;Non Disponibile;VIA LITTA MODIGNANI 55;MILANO;LOMBARDIA;SI;www.iispareto.it;True;9,1607397;45,522836700000006;SCUOLA SECONDARIA II GRADO;377
MITF070009;201617;NORD OVEST;20136,0;F205;MITF070009;FELTRINELLI;FELTRINELLI;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;SI;Non Disponibile;MITF070009@istruzione.it;mitf070009@pec.istruzione.it;PIAZZA TITO LUCREZIO CARO8;MILANO;LOMBARDIA;SI;www.itisfeltrinelli.gov.it;True;9,183334;45,4485196;SCUOLA SECONDARIA II GRADO;1224
MIMM8CV018;201617;NORD OVEST;20128,0;F205;MIIC8CV007;IC PAOLO E LARISSA PINI/MILANO;TREVISANI - SCAETTA;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8CV007@istruzione.it;Non Disponibile;VIA CESALPINO 40;MILANO;LOMBARDIA;SI;www.icspini.net;True;9,231655900000002;45,507467999999996;SCUOLA SECONDARIA I GRADO;526
MIMM8F101X;201617;NORD OVEST;20147,0;F205;MIIC8F100V;F.S. CABRINI;E. DE MARCHI JUNIOR - T. GULLI;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8F100V@istruzione.it;Non Disponibile;VIA CRIMEA 22;MILANO;LOMBARDIA;SI;wwwdemarchi-gulli.gov.it;True;9,1302427;45,461059399999996;SCUOLA SECONDARIA I GRADO;885
MIPS03000R;201617;NORD OVEST;20122,0;F205;MIPS03000R;LEONARDO DA VINCI;LEONARDO DA VINCI;NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS03000R@istruzione.it;mips03000r@pec.istruzione.it;VIA OTTORINO RESPIGHI5;MILANO;LOMBARDIA;SI;http//www.lsdavincimilano.eu;True;9,2024776;45,46308750000001;SCUOLA SECONDARIA II GRADO;986
MITF11000E;201617;NORD OVEST;20132,0;F205;MITF11000E;ITI MOLINARI;ITI MOLINARI;NORMALE;MILANO;ISTITUTO TECNICO INDUSTRIALE;SI;Non Disponibile;MITF11000E@istruzione.it;mitf11000e@pec.istruzione.it;VIA CRESCENZAGO 110;MILANO;LOMBARDIA;SI;www.itt-ettoremolinari.gov.it;True;9,2399557;45,49655739999999;SCUOLA SECONDARIA II GRADO;902
MIEE8CV03E;201617;NORD OVEST;20128,0;F205;MIIC8CV007;IC PAOLO E LARISSA PINI/MILANO;MARTIRI DI GORLA;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CV007@istruzione.it;Non Disponibile;VIA CESALPINO 38;MILANO;LOMBARDIA;SI;www.icspini.net;True;9,2324076;45,50775489999999;SCUOLA PRIMARIA;475
MIMM8DU016;201617;NORD OVEST;20139,0;F205;MIIC8DU005;IC R.PEZZANI/MILANO;VIA MARTINENGO;NORMALE;MILANO;SCUOLA PRIMO GRADO;NO;Non Disponibile;MIIC8DU005@istruzione.it;Non Disponibile;VIA MARTINENGO 34/6;MILANO;LOMBARDIA;SI;www.icpezzani.it;True;9,227772900000001;45,442632700000004;SCUOLA SECONDARIA I GRADO;527
MIPS08000T;201617;NORD OVEST;20124,0;F205;MIPS08000T;VOLTA;VOLTA;NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS08000T@istruzione.it;mips08000t@pec.istruzione.it;VIA BENEDETTO MARCELLO7;MILANO;LOMBARDIA;SI;www.liceovolta.it;True;9,2063025;45,4796217;SCUOLA SECONDARIA II GRADO;1117
MIPS070007;201617;NORD OVEST;20148,0;F205;MIPS070007;VITTORIO VENETO;VITTORIO VENETO;NORMALE;MILANO;LICEO SCIENTIFICO;SI;Non Disponibile;MIPS070007@istruzione.it;mips070007@pec.istruzione.it;VIA DE VINCENTI 7;MILANO;LOMBARDIA;SI;www.liceovittorioveneto.it;True;9,141598;45,4774159;SCUOLA SECONDARIA II GRADO;1167
MITE01000V;201617;NORD OVEST;20132,0;F205;MITE01000V;"""GIULIO NATTA""";"""GIULIO NATTA""";NORMALE;MILANO;ISTITUTO TECNICO PER ATTIVITA' SOCIALI (GIA' ITF);SI;Non Disponibile;MITE01000V@istruzione.it;mite01000v@pec.istruzione.it;VIA DON GIOVANNI CALABRIA16;MILANO;LOMBARDIA;SI;www.itasnatta.it;True;9,241926199999998;45,4993466;SCUOLA SECONDARIA II GRADO;996
MIEE8CV02A;201617;NORD OVEST;20126,0;F205;MIIC8CV007;IC PAOLO E LARISSA PINI/MILANO;F.CRISPI;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8CV007@istruzione.it;Non Disponibile;VIA SANT'ERLEMBARDO 4;MILANO;LOMBARDIA;SI;www.icspini.net;True;9,21962;45,505023200000004;SCUOLA PRIMARIA;232
MIEE8DU028;201617;NORD OVEST;20139,0;F205;MIIC8DU005;IC R.PEZZANI/MILANO;VIA PUGLIE;NORMALE;MILANO;SCUOLA PRIMARIA;NO;Non Disponibile;MIIC8DU005@istruzione.it;Non Disponibile;VIA PUGLIE 4;MILANO;LOMBARDIA;SI;www.icpezzani.it;True;9,22428;45,444759999999995;SCUOLA PRIMARIA;342
